7,26,Χώροι στάθμευσης,Στάθμευση στο αεροδρόμιο
7,27,Διαδικασίες στάθμευσης,Στάθμευση στο αεροδρόμιο
7,28,Βοηθητικές υπηρεσίες μετακίνησης,Γενικές πληροφορίες πτήσης
7,29,Καταστήματα,Υπηρεσίες αεροδρομίου
7,30,Εστιατόρια-καφέ,Υπηρεσίες αεροδρομίου
7,31,Προσφορές και νέα προιόντα,Προσφορές αεροδρομίου
7,32,Εγγύηση καλύτερης τιμής αγορών,Υπηρεσίες αεροδρομίου
7,33,Πρόσβαση στο αεροδρόμιο,Μετακίνηση από και προς το αεροδρόμιο
7,34,Ταξί και λιμουζίνες,Μετακίνηση από και προς το αεροδρόμιο
7,35,Οδηγίες για προκαθορισμένες διαδρομές προς αεροδρόμιο,Μετακίνηση από και προς το αεροδρόμιο
7,36,Ηλεκτρονικό check-in,Υπηρεσίες αεροδρομίου
7,37,Πρόσβαση στο διαδίκτυο,Υπηρεσίες αεροδρομίου
7,38,Εφαρμογές για χρήση στο αεροδρόμιο,Προσφορές αεροδρομίου
7,39,Εμπορικό πάρκο,Υπηρεσίες αεροδρομίου
7,40,Εκθεσιακό κέντρο,Υπηρεσίες αεροδρομίου
8,1,Πληροφορίες πτήσεων,Σχετικά με την πτήση σας
8,2,Απευθείας πτήσεις,Σχετικά με την πτήση σας
8,3,Πτήσεις μέσω Αθήνας,Σχετικά με την πτήση σας
8,4,Ενημέρωση πτήσεων,Σχετικά με την πτήση σας
8,5,Προσφορές εισιτηρίων,Προσφορές
8,6,Άφιξη επιβατών,Σχετικά με την πτήση σας
8,7,Μετεπιβίβαση επιβατών,Αφού φτάσετε στο αεροδρόμιο
8,8,Ξενοδοχείο στο αεροδρόμιο,Αφού φτάσετε στον  προορισμό σας
8,9,Τουριστικές πληροφορίες,Αφού φτάσετε στον  προορισμό σας
8,10,Μετατροπή συναλλάγματος,Αφού φτάσετε στον  προορισμό σας
8,11,Ενοικίαση αυτοκινήτων,Αφού φτάσετε στον  προορισμό σας
8,12,Αεροπορικές εταιρίες,Σχετικά με την πτήση σας
8,13,Διαδικασίες ελέγχου ασφαλείας,Αφού φτάσετε στο αεροδρόμιο
8,14,Απαγορευμένα είδη κατά την πτήση,Αφού φτάσετε στο αεροδρόμιο
8,15,Ταξιδεύοντας με κατοικίδια,Ειδικοί Τύποι Επιβατών
8,16,Έλεγχος διαβατηρίων,Αφού φτάσετε στο αεροδρόμιο
8,17,Αναζήτηση αποσκευών ,Οι αποσκευές και τα αντικείμενά σας
8,18,Απολεσθέντα αντικείμενα,Οι αποσκευές και τα αντικείμενά σας
8,19,Φύλαξη αποσκευών,Οι αποσκευές και τα αντικείμενά σας
8,20,Υπηρεσίες για παιδιά,Ειδικοί Τύποι Επιβατών
8,21,Ιατρικές υπηρεσίες,Αφού φτάσετε στον  προορισμό σας
8,22,"Τράπεζες, ATMs και ταχυδρομείο",Αφού φτάσετε στον  προορισμό σας
8,23,Ανταλλακτήρια συναλλάγματος,Αφού φτάσετε στον  προορισμό σας
8,24,Τέχνη και πολιτισμός,Αφού φτάσετε στον  προορισμό σας
8,25,E-parking,Αφού φτάσετε στον  προορισμό σας
8,26,Χώροι στάθμευσης,Αφού φτάσετε στον  προορισμό σας
8,27,Διαδικασίες στάθμευσης,Αφού φτάσετε στον  προορισμό σας
8,28,Βοηθητικές υπηρεσίες μετακίνησης,Αφού φτάσετε στον  προορισμό σας
8,29,Καταστήματα,Αφού φτάσετε στον  προορισμό σας
8,30,Εστιατόρια-καφέ,Αφού φτάσετε στον  προορισμό σας
8,31,Προσφορές και νέα προιόντα,Προσφορές
8,32,Εγγύηση καλύτερης τιμής αγορών,Αφού φτάσετε στον  προορισμό σας
8,33,Πρόσβαση στο αεροδρόμιο,Αφού φτάσετε στο αεροδρόμιο
8,34,Ταξί και λιμουζίνες,Αφού φτάσετε στον  προορισμό σας
8,35,Οδηγίες για προκαθορισμένες διαδρομές προς αεροδρόμιο,Αφού φτάσετε στον  προορισμό σας
8,36,Ηλεκτρονικό check-in,Λειτουργίες μέσω smartphone
8,37,Πρόσβαση στο διαδίκτυο,Αφού φτάσετε στο αεροδρόμιο
8,38,Εφαρμογές για χρήση στο αεροδρόμιο,Λειτουργίες μέσω smartphone
8,39,Εμπορικό πάρκο,Αφού φτάσετε στον  προορισμό σας
8,40,Εκθεσιακό κέντρο,Αφού φτάσετε στον  προορισμό σας
9,1,Πληροφορίες πτήσεων,Πληροφορίες
9,2,Απευθείας πτήσεις,Πτήσεις
9,3,Πτήσεις μέσω Αθήνας,Πτήσεις
9,4,Ενημέρωση πτήσεων,Εισιτήρια
9,5,Προσφορές εισιτηρίων,Εισιτήρια
9,6,Άφιξη επιβατών,Πτήσεις
9,7,Μετεπιβίβαση επιβατών,Χρήματα
9,8,Ξενοδοχείο στο αεροδρόμιο,Μετακίνηση και διαμονή
9,9,Τουριστικές πληροφορίες,Πληροφορίες
9,10,Μετατροπή συναλλάγματος,Χρήματα
9,11,Ενοικίαση αυτοκινήτων,Μετακίνηση και διαμονή
9,12,Αεροπορικές εταιρίες,Πληροφορίες
9,13,Διαδικασίες ελέγχου ασφαλείας,Πληροφορίες
9,14,Απαγορευμένα είδη κατά την πτήση,Πληροφορίες
9,15,Ταξιδεύοντας με κατοικίδια,Υπηρεσίες
9,16,Έλεγχος διαβατηρίων,Πτήσεις
9,17,Αναζήτηση αποσκευών ,Υπηρεσίες
